ヘッダー
ファイルバージョン,1.01.01
ソフトウェアバージョン,1.04
ファームウェアバージョン,1.02
FPGAバージョン,1A25
ヘッドセット FPGAバージョン,272B
計測モード,Wireless monitor
計測コントローラ ID,A
計測ID,A20230613210422
計測コメント,tohma_odoball_2
ユーザー情報
ID,
Name,ooshio360
Comment,ooshio360
Age,  1y
Sex,Male
解析情報
Hb移動平均[s],OFF
プローブ情報
プローブモード,(B)2x4
プローブID,PROBE095
mPD反映,X
自動レーザー出力設定方式,Auto（自動）
プローブ調整平均値算出回数,10
外光判定閾値[%],40
アンダー判定閾値[%],30
オーバー判定閾値[%],80
レーザーチャンネル,LD1(705.0),LD1(830.0),LD2(705.0),LD2(830.0),LD3(705.0),LD3(830.0),LD4(705.0),LD4(830.0),LD5(705.0),LD5(830.0),LD6(705.0),LD6(830.0),LD7(705.0),LD7(830.0),LD8(705.0),LD8(830.0)
計測チャンネル,CH1(-.-),CH1(-.-),CH2(-.-),CH2(-.-),CH3(-.-),CH3(-.-),CH4(-.-),CH4(-.-),CH5(-.-),CH5(-.-),CH6(-.-),CH6(-.-),CH7(705.0),CH7(830.0),CH8(705.0),CH8(830.0),CH9(705.0),CH9(830.0),CH10(705.0),CH10(830.0),CH11(705.0),CH11(830.0),CH12(705.0),CH12(830.0),CH13(705.0),CH13(830.0),CH14(705.0),CH14(830.0),CH15(705.0),CH15(830.0),CH16(705.0),CH16(830.0),CH17(-.-),CH17(-.-),CH18(-.-),CH18(-.-),CH19(-.-),CH19(-.-),CH20(-.-),CH20(-.-),CH21(-.-),CH21(-.-),CH22(-.-),CH22(-.-)
除去チャネル,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
故障レーザーチャンネル,-,-,-,-,-,-,-,-,-,-,-,-,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-
レーザー設定,-,-,-,-,-,-,-,-,-,-,-,-,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Off,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Low,-,-,-,-,-,-,-,-,-,-,-,-,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - High,-,-,-,-,-,-,-,-,-,-,-,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力設定値(If)[mA],-,-,-,-,-,-,-,-,-,-,-,-,23.17,24.37,23.17,24.37,22.12,24.49,22.12,24.49,21.77,23.76,22.12,24.49,21.77,23.76,21.77,23.76,22.15,23.55,22.15,23.55,-,-,-,-,-,-,-,-,-,-,-,-
レーザー調整係数,8.000,8.000
レーザー調整基準レーザー出力(Po)[mW],4.00,4.00
レーザー調整基準レーザー出力(Vm)[V],0.50,0.50
プローブ調整結果,-,-,-,-,-,-,-,-,Normal,Normal,-,-,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,-,-,Normal,Normal,-,-,-,-,-,-,-,-
計測情報
計測日時,2023/06/13 21:05:07
計測タイプ,Stim
プリスキャン時間[s],10.0
マーク入力タイプ,Manual
マーククラス,A,B,C,D,E,F,G,H,I,J
マーク名称,Stim A,Stim B,Stim C,Stim D,Stim E,Stim F,Stim G,Stim H,Stim I,Stim J
マーク刺激時間[s],15,15,15,15,15,15,15,15,15,15
マーク刺激間隔時間[s],30,30,30,30,30,30,30,30,30,30
マーク繰り返し回数,3



データ
携帯制御ボックス番号69(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22946207,-0.26727703,-0.24537106,-0.22717755,-0.21313828,-0.19217542,-0.16560283,-0.24893382,-0.15213847,-0.18859072,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:17.0,0,0
2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.11076096,-0.01392069,-0.02963984,-0.09272107,-0.10720873,-0.03900621,-0.09669778,-0.10333794,-0.06226593,0.11228982,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:17.0,0,0
3,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.14285135,-0.08592402,-0.10373642,-0.16976246,-0.12656170,-0.10330626,-0.09323494,-0.13114551,-0.09099027,0.08598496,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:17.0,0,0
4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.29428926,-0.24502560,-0.23886763,-0.32289821,-0.16597690,-0.21017252,-0.10104044,-0.18711418,-0.14474536,0.24310710,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:17.0,0,0
5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.27521080,-0.01934804,-0.00251132,-0.09588291,-0.04184710,-0.02629368,-0.03737799,-0.03437796,-0.03954308,0.32869112,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:18.0,0,0
6,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.38558182,-0.05711509,-0.01760590,-0.04891924,-0.07417268,-0.05286571,-0.06418186,-0.06499915,-0.07355485,0.24093649,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:18.0,0,0
7,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.44744515,-0.19319110,-0.14490370,-0.12523000,-0.15599400,-0.14561222,-0.12828186,-0.16669285,-0.14095771,0.12948427,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:18.0,0,0
8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.25039491,-0.00012472,0.02413376,0.02891824,-0.09360149,-0.01657445,-0.10185662,-0.07789131,-0.03837780,0.30762404,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:18.0,0,0
9,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.30831781,-0.02782785,0.02032363,0.04288907,-0.10575029,-0.03798489,-0.10939994,-0.09593731,-0.05754071,0.37912989,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:18.0,0,0
10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.35931617,-0.13757849,-0.09722947,-0.05206880,-0.18063138,-0.13802402,-0.14907421,-0.19628726,-0.13225478,0.28921363,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:19.0,0,0
11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.37551039,-0.14249478,-0.02059257,-0.02365924,-0.18605892,-0.09679115,-0.16673538,-0.17549661,-0.07973932,0.42912865,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:19.0,0,0
12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22621912,0.00326388,-0.01194667,-0.02023453,-0.18148343,-0.08596391,-0.17048392,-0.18307397,-0.08121204,0.49651644,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:19.0,0,0
13,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.23947647,-0.06503930,-0.10104066,-0.13910875,-0.22937700,-0.15592110,-0.21342842,-0.24803898,-0.14084864,0.41886494,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:19.0,0,0
14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.06314254,-0.04486519,-0.02068273,11.55762863,-0.34851107,-0.19286129,-0.21796982,-0.28417903,-0.11170118,0.43422943,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:19.0,0,0
