ヘッダー
ファイルバージョン,1.01.01
ソフトウェアバージョン,1.04
ファームウェアバージョン,1.02
FPGAバージョン,1A25
ヘッドセット FPGAバージョン,272B
計測モード,Wireless monitor
計測コントローラ ID,A
計測ID,A20230613210422
計測コメント,tohma_odoball_2
ユーザー情報
ID,
Name,ooshio360
Comment,ooshio360
Age,  1y
Sex,Male
解析情報
Hb移動平均[s],OFF
プローブ情報
プローブモード,(B)2x4
プローブID,PROBE095
mPD反映,X
自動レーザー出力設定方式,Auto（自動）
プローブ調整平均値算出回数,10
外光判定閾値[%],40
アンダー判定閾値[%],30
オーバー判定閾値[%],80
レーザーチャンネル,LD1(705.0),LD1(830.0),LD2(705.0),LD2(830.0),LD3(705.0),LD3(830.0),LD4(705.0),LD4(830.0),LD5(705.0),LD5(830.0),LD6(705.0),LD6(830.0),LD7(705.0),LD7(830.0),LD8(705.0),LD8(830.0)
計測チャンネル,CH1(-.-),CH1(-.-),CH2(-.-),CH2(-.-),CH3(-.-),CH3(-.-),CH4(-.-),CH4(-.-),CH5(-.-),CH5(-.-),CH6(-.-),CH6(-.-),CH7(705.0),CH7(830.0),CH8(705.0),CH8(830.0),CH9(705.0),CH9(830.0),CH10(705.0),CH10(830.0),CH11(705.0),CH11(830.0),CH12(705.0),CH12(830.0),CH13(705.0),CH13(830.0),CH14(705.0),CH14(830.0),CH15(705.0),CH15(830.0),CH16(705.0),CH16(830.0),CH17(-.-),CH17(-.-),CH18(-.-),CH18(-.-),CH19(-.-),CH19(-.-),CH20(-.-),CH20(-.-),CH21(-.-),CH21(-.-),CH22(-.-),CH22(-.-)
除去チャネル,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
故障レーザーチャンネル,-,-,-,-,-,-,-,-,-,-,-,-,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-
レーザー設定,-,-,-,-,-,-,-,-,-,-,-,-,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Off,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Low,-,-,-,-,-,-,-,-,-,-,-,-,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - High,-,-,-,-,-,-,-,-,-,-,-,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力設定値(If)[mA],-,-,-,-,-,-,-,-,-,-,-,-,23.17,24.37,23.17,24.37,22.12,24.49,22.12,24.49,21.77,23.76,22.12,24.49,21.77,23.76,21.77,23.76,22.15,23.55,22.15,23.55,-,-,-,-,-,-,-,-,-,-,-,-
レーザー調整係数,8.000,8.000
レーザー調整基準レーザー出力(Po)[mW],4.00,4.00
レーザー調整基準レーザー出力(Vm)[V],0.50,0.50
プローブ調整結果,-,-,-,-,-,-,-,-,Normal,Normal,-,-,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,-,-,Normal,Normal,-,-,-,-,-,-,-,-
計測情報
計測日時,2023/06/13 21:05:07
計測タイプ,Stim
プリスキャン時間[s],10.0
マーク入力タイプ,Manual
マーククラス,A,B,C,D,E,F,G,H,I,J
マーク名称,Stim A,Stim B,Stim C,Stim D,Stim E,Stim F,Stim G,Stim H,Stim I,Stim J
マーク刺激時間[s],15,15,15,15,15,15,15,15,15,15
マーク刺激間隔時間[s],30,30,30,30,30,30,30,30,30,30
マーク繰り返し回数,3



データ
携帯制御ボックス番号69(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
15,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05235545,6.41936302,9.41860962,-0.05993122,-0.07578599,-0.16679153,-0.17756751,-0.07072737,0.50691605,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:20.0,0,0
16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.12699629,-0.00131254,-0.09787777,-0.19666910,0.06266777,-0.12395495,-0.13943662,-0.20433354,-0.09553077,0.50399423,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:20.0,0,0
17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.18559881,0.00000000,11.93371964,-0.17737073,-0.20377338,-0.17919984,-0.28418967,-0.16318245,0.01369683,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:20.0,0,0
18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.10526776,0.08662876,0.01662464,-0.10908922,-0.08214690,-0.02075855,-0.12106585,-0.12697327,-0.00618235,0.45510045,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:20.0,0,0
19,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01451927,0.00000000,9.88055420,-0.06827044,-0.06494770,-0.10095522,-0.13242269,-0.04761816,0.37617269,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:20.0,0,0
20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.24572024,-0.14250831,-0.16282429,-0.20513266,-0.14506091,-0.16168621,-0.14029053,-0.21984220,-0.11668231,0.21039948,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:21.0,0,0
21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01537485,0.00000000,9.57533646,-0.03076816,-0.00939502,-0.09464346,-0.11601028,0.00285145,0.22107279,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:21.0,0,0
22,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.46483016,-0.01209423,0.03338190,0.05176370,-0.05275157,-0.00968441,-0.07574108,-0.12432139,0.00573936,0.29598272,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:21.0,0,0
23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04746406,-0.11267097,1.33538723,11.99417686,-0.10245460,-0.09201860,-0.13218236,-0.22651890,-0.06513773,0.06429651,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:21.0,0,0
24,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.30731428,-0.09906651,0.03814362,0.13701075,0.03496218,-0.00178622,-0.08925572,-0.17042550,0.00812426,0.17622365,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:21.0,0,0
25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02961624,0.01845866,0.00172855,9.63102341,-0.16995946,-0.01351346,-0.07527230,-0.16163677,-0.01740034,0.18231973,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:22.0,0,0
26,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.24640372,-0.08797824,-0.09657162,0.00418099,-0.03650808,-0.12433745,-0.09992151,-0.22335497,-0.09015578,0.12664193,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:22.0,0,0
27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01680136,-0.21755022,-0.02370079,12.13759422,-0.26312798,-0.12874518,-0.14226896,-0.23751095,-0.03912807,0.20194882,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:22.0,0,0
28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.48361519,-0.15673989,-0.05592416,-0.05024967,-0.00975311,-0.05310567,-0.12208934,-0.18122056,-0.01481727,0.23650742,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:22.0,0,0
29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.43157041,0.11593054,-0.00746602,10.53210354,-0.21517229,-0.09018130,-0.14553308,-0.21840347,-0.05483609,0.25643215,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:22.0,0,0
30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.26682621,0.00000000,12.12026024,-0.39456499,-0.15845469,-0.17960122,-0.27896500,-0.08477303,0.18464264,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:23.0,0,0
31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.07061419,0.02056871,-0.03927600,-0.09920609,-0.09402375,-0.00210021,-0.12396394,-0.14981206,-0.00908999,0.31092575,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:23.0,0,0
32,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.12779374,0.00000000,15.32771778,-0.08911735,-0.07035131,-0.12165833,-0.18498060,-0.05811177,0.18691474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:23.0,0,0
33,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.30892009,-0.26683196,-0.25611982,-0.31870270,-0.17330216,-0.15777458,-0.14028591,-0.24407898,-0.10419285,0.06460798,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:23.0,0,0
34,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03334947,0.00000000,14.99352932,-0.03615153,-0.02030499,-0.07004008,-0.10635296,-0.03607496,0.17774180,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:23.0,0,0
35,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.18334378,-0.10932519,-0.14096810,-0.15606299,-0.10011345,-0.08403589,-0.08580880,-0.14688337,-0.09066252,0.03050055,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:24.0,0,0
36,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.29569089,0.00000000,13.46813202,-0.12438387,-0.14358445,-0.13848230,-0.21299464,-0.08358525,0.02794421,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:24.0,0,0
37,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.09896164,0.00597071,1.21217346,1.18547821,-0.10494258,-0.00694268,-0.10459907,-0.11472954,-0.01577726,0.10478142,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:24.0,0,0
38,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02421706,-0.07101814,-0.01298777,11.84417343,-0.19776368,-0.06910495,-0.17384142,-0.20129600,-0.07030884,0.05288585,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:24.0,0,0
39,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.23347291,-0.25987709,-0.19095752,-0.08173487,-0.08773887,-0.12632854,-0.20793378,-0.26091838,-0.07346153,0.06198087,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:24.0,0,0
40,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03191637,0.07898819,-0.00179947,10.32803535,-0.18227187,0.04345080,-0.12289988,-0.11747058,0.02579200,0.40077865,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:25.0,0,0
41,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.11346395,-0.03511233,-0.06579107,3.55397797,0.00883871,-0.02853421,-0.11368071,-0.12918192,-0.01413597,0.36809796,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:25.0,0,0
42,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03516692,-0.20969826,-0.01987664,11.49751186,-0.23741284,-0.13707389,-0.14288521,-0.21316519,-0.07854027,0.25312912,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:25.0,0,0
43,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07721601,1.42638803,4.57946301,0.11797011,0.06307331,-0.00585310,0.01034988,0.05192010,0.46743989,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:25.0,0,0
44,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05230331,0.05266102,-0.00588070,-0.04740445,0.11699855,0.02118596,0.02734009,0.02762505,0.01600598,0.39283586,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:25.0,0,0
45,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.13628003,0.00000000,13.41888046,-0.01076931,-0.08614749,-0.02265090,-0.06065711,-0.07113875,0.17316940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:26.0,0,0
46,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.14435011,-0.24481520,-0.16261902,-0.21447372,-0.05366017,-0.09061085,-0.02447433,-0.05090710,-0.03489815,0.26612061,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:26.0,0,0
47,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.10667125,0.00000000,11.44220734,0.08684582,0.06183741,0.04970691,0.08304787,0.04109616,0.41875857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:26.0,0,0
48,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.19228104,0.04438898,-0.00142989,-0.02215040,0.03612491,0.00780893,0.02587470,0.02693594,0.00295342,0.37451285,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:26.0,0,0
49,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.14644209,0.00000000,13.63355446,-0.06019485,-0.11401815,-0.06321196,-0.11347799,-0.08053833,0.33200273,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:26.0,0,0
50,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.81104231,-0.24672230,-0.13670377,-0.10966931,-0.09968530,-0.08414023,-0.06620104,-0.09217966,-0.01561017,0.52683091,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:27.0,0,0
51,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05111043,0.10314138,0.43210506,9.12216854,-0.00011271,0.01927432,-0.02752325,-0.01355404,0.02670839,0.64528465,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:27.0,0,0
52,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.17249461,-0.02379515,-0.07558747,4.27500725,0.03712445,-0.04713181,-0.06713258,-0.08557063,-0.02680534,0.55180156,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:27.0,0,0
53,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04714175,-0.20287538,-0.02209453,10.13031006,-0.23758602,-0.17093964,-0.11368385,-0.18524069,-0.11930767,0.36650926,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:27.0,0,0
54,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01774305,-0.32714081,-0.28321490,-0.38283050,-0.03275818,-0.20281258,-0.11879628,-0.18526319,-0.10222080,0.33572257,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:27.0,0,0
55,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04768130,-0.03179254,-0.01370168,9.25526524,-0.11198455,-0.07313988,0.00740383,-0.02088809,-0.04750295,0.39912474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:28.0,0,0
56,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.13311583,0.06712383,-0.14067036,0.05680943,-0.14525233,-0.02708792,-0.08181628,-0.10289635,0.30872768,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:28.0,0,0
57,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00076345,-0.29714119,-0.40484980,-0.50110960,-0.19186398,-0.26641414,-0.12080365,-0.22800472,-0.20149419,0.10982461,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:28.0,0,0
58,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.12751864,-0.41904116,-0.44893801,-0.52829123,-0.23440889,-0.30485588,-0.14480457,-0.23949470,-0.18016948,0.06739719,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:28.0,0,0
59,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06283543,-0.20082231,-0.30449805,-0.33119369,-0.17437634,-0.20728964,-0.11982213,-0.18014798,-0.15360847,0.08438040,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:28.0,0,0
60,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.11564216,-0.28413594,-0.37424517,-0.38256833,-0.24705406,-0.26506698,-0.18147740,-0.26997265,-0.19588310,0.00883153,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:05:29.0,0,0
