ヘッダー
ファイルバージョン,1.01.01
ソフトウェアバージョン,1.04
ファームウェアバージョン,1.02
FPGAバージョン,1A25
ヘッドセット FPGAバージョン,272B
計測モード,Wireless monitor
計測コントローラ ID,A
計測ID,A20230613212349
計測コメント,tohma_odoball_2
ユーザー情報
ID,
Name,ooshio360
Comment,ooshio360
Age,  1y
Sex,Male
解析情報
Hb移動平均[s],OFF
プローブ情報
プローブモード,(B)2x4
プローブID,PROBE095
mPD反映,X
自動レーザー出力設定方式,Auto（自動）
プローブ調整平均値算出回数,10
外光判定閾値[%],40
アンダー判定閾値[%],30
オーバー判定閾値[%],80
レーザーチャンネル,LD1(705.0),LD1(830.0),LD2(705.0),LD2(830.0),LD3(705.0),LD3(830.0),LD4(705.0),LD4(830.0),LD5(705.0),LD5(830.0),LD6(705.0),LD6(830.0),LD7(705.0),LD7(830.0),LD8(705.0),LD8(830.0)
計測チャンネル,CH1(-.-),CH1(-.-),CH2(-.-),CH2(-.-),CH3(-.-),CH3(-.-),CH4(-.-),CH4(-.-),CH5(-.-),CH5(-.-),CH6(-.-),CH6(-.-),CH7(705.0),CH7(830.0),CH8(705.0),CH8(830.0),CH9(705.0),CH9(830.0),CH10(705.0),CH10(830.0),CH11(705.0),CH11(830.0),CH12(705.0),CH12(830.0),CH13(705.0),CH13(830.0),CH14(705.0),CH14(830.0),CH15(705.0),CH15(830.0),CH16(705.0),CH16(830.0),CH17(-.-),CH17(-.-),CH18(-.-),CH18(-.-),CH19(-.-),CH19(-.-),CH20(-.-),CH20(-.-),CH21(-.-),CH21(-.-),CH22(-.-),CH22(-.-)
除去チャネル,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
故障レーザーチャンネル,-,-,-,-,-,-,-,-,-,-,-,-,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-
レーザー設定,-,-,-,-,-,-,-,-,-,-,-,-,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Off,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Low,-,-,-,-,-,-,-,-,-,-,-,-,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - High,-,-,-,-,-,-,-,-,-,-,-,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力設定値(If)[mA],-,-,-,-,-,-,-,-,-,-,-,-,23.17,24.37,23.17,24.37,22.12,24.49,22.12,24.49,21.77,23.76,22.12,24.49,21.77,23.76,21.77,23.76,22.15,23.55,22.15,23.55,-,-,-,-,-,-,-,-,-,-,-,-
レーザー調整係数,8.000,8.000
レーザー調整基準レーザー出力(Po)[mW],4.00,4.00
レーザー調整基準レーザー出力(Vm)[V],0.50,0.50
プローブ調整結果,-,-,-,-,-,-,-,-,Normal,Normal,-,-,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,-,-,Normal,Normal,-,-,-,-,-,-,-,-
計測情報
計測日時,2023/06/13 21:24:36
計測タイプ,Stim
プリスキャン時間[s],10.0
マーク入力タイプ,Manual
マーククラス,A,B,C,D,E,F,G,H,I,J
マーク名称,Stim A,Stim B,Stim C,Stim D,Stim E,Stim F,Stim G,Stim H,Stim I,Stim J
マーク刺激時間[s],15,15,15,15,15,15,15,15,15,15
マーク刺激間隔時間[s],30,30,30,30,30,30,30,30,30,30
マーク繰り返し回数,3



データ
携帯制御ボックス番号69(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03000835,-0.17538321,-0.23895247,-0.27578789,-0.14581040,-0.17056458,-0.07549751,-0.16300546,-0.15206312,-0.22291256,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:46.0,0,0
2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.05897003,-0.26990187,-0.36481994,-0.43600872,-0.20297885,-0.25651094,-0.12354974,-0.23212296,-0.19164552,-0.39912051,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:46.0,0,0
3,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15762605,-0.01197009,-0.00856722,-0.00327882,-0.08133563,0.00014598,-0.03062021,-0.04646714,0.01554828,-0.23561557,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:46.0,0,0
4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03522113,-0.03514655,-0.03109092,-0.06246899,-0.06775729,-0.04057597,-0.04793505,-0.03789847,-0.06997026,-0.20285648,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:47.0,0,0
5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04941989,-0.16379671,-0.17212303,-0.12738314,-0.14072736,-0.13906258,-0.08079769,-0.13712098,-0.13361888,-0.33815593,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:47.0,0,0
6,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.09077359,-0.23712665,-0.16941224,-0.06883767,-0.13756269,-0.14103509,-0.07718799,-0.11095299,-0.07436983,-0.28647947,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:47.0,0,0
7,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05035574,-0.00287621,0.05450300,0.15043260,-0.02209320,0.02028536,0.00938299,0.03622372,-0.01077538,-0.24722153,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:47.0,0,0
8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02274693,-0.06614976,0.00138609,0.12651448,-0.01852731,-0.01799673,0.02104352,0.02589155,-0.05010105,-0.26803398,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:47.0,0,0
9,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.17402339,-0.17934069,-0.12183571,0.03967740,-0.06189681,-0.10660399,0.01257960,-0.03792748,-0.11725333,-0.35701221,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:48.0,0,0
10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.21287528,-0.15237464,0.07878357,0.20492107,0.00945598,0.03018534,0.06088793,0.11384611,0.03038569,-0.13696778,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:48.0,0,0
11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.12624677,-0.01450932,0.12684144,0.27175218,0.07031167,0.04648178,0.11417058,0.14418304,0.03127538,-0.14247556,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:48.0,0,0
12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.18407574,-0.06225369,0.05977051,0.23700312,0.05781633,-0.01009346,0.10952111,0.10972801,-0.05434966,-0.14650868,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:48.0,0,0
13,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.24737172,-0.15997475,-0.08332302,0.10514264,-0.00860875,-0.10095442,0.06820314,0.01973399,-0.12599012,-0.16986851,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:48.0,0,0
14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.13354686,0.01349369,0.19881622,0.32089791,0.11466302,0.10970276,0.13636883,0.20257300,0.07003230,0.21979985,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:49.0,0,0
