ヘッダー
ファイルバージョン,1.01.01
ソフトウェアバージョン,1.04
ファームウェアバージョン,1.02
FPGAバージョン,1A25
ヘッドセット FPGAバージョン,272B
計測モード,Wireless monitor
計測コントローラ ID,A
計測ID,A20230613212349
計測コメント,tohma_odoball_2
ユーザー情報
ID,
Name,ooshio360
Comment,ooshio360
Age,  1y
Sex,Male
解析情報
Hb移動平均[s],OFF
プローブ情報
プローブモード,(B)2x4
プローブID,PROBE095
mPD反映,X
自動レーザー出力設定方式,Auto（自動）
プローブ調整平均値算出回数,10
外光判定閾値[%],40
アンダー判定閾値[%],30
オーバー判定閾値[%],80
レーザーチャンネル,LD1(705.0),LD1(830.0),LD2(705.0),LD2(830.0),LD3(705.0),LD3(830.0),LD4(705.0),LD4(830.0),LD5(705.0),LD5(830.0),LD6(705.0),LD6(830.0),LD7(705.0),LD7(830.0),LD8(705.0),LD8(830.0)
計測チャンネル,CH1(-.-),CH1(-.-),CH2(-.-),CH2(-.-),CH3(-.-),CH3(-.-),CH4(-.-),CH4(-.-),CH5(-.-),CH5(-.-),CH6(-.-),CH6(-.-),CH7(705.0),CH7(830.0),CH8(705.0),CH8(830.0),CH9(705.0),CH9(830.0),CH10(705.0),CH10(830.0),CH11(705.0),CH11(830.0),CH12(705.0),CH12(830.0),CH13(705.0),CH13(830.0),CH14(705.0),CH14(830.0),CH15(705.0),CH15(830.0),CH16(705.0),CH16(830.0),CH17(-.-),CH17(-.-),CH18(-.-),CH18(-.-),CH19(-.-),CH19(-.-),CH20(-.-),CH20(-.-),CH21(-.-),CH21(-.-),CH22(-.-),CH22(-.-)
除去チャネル,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
故障レーザーチャンネル,-,-,-,-,-,-,-,-,-,-,-,-,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-
レーザー設定,-,-,-,-,-,-,-,-,-,-,-,-,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Off,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Low,-,-,-,-,-,-,-,-,-,-,-,-,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - High,-,-,-,-,-,-,-,-,-,-,-,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力設定値(If)[mA],-,-,-,-,-,-,-,-,-,-,-,-,23.17,24.37,23.17,24.37,22.12,24.49,22.12,24.49,21.77,23.76,22.12,24.49,21.77,23.76,21.77,23.76,22.15,23.55,22.15,23.55,-,-,-,-,-,-,-,-,-,-,-,-
レーザー調整係数,8.000,8.000
レーザー調整基準レーザー出力(Po)[mW],4.00,4.00
レーザー調整基準レーザー出力(Vm)[V],0.50,0.50
プローブ調整結果,-,-,-,-,-,-,-,-,Normal,Normal,-,-,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,-,-,Normal,Normal,-,-,-,-,-,-,-,-
計測情報
計測日時,2023/06/13 21:24:36
計測タイプ,Stim
プリスキャン時間[s],10.0
マーク入力タイプ,Manual
マーククラス,A,B,C,D,E,F,G,H,I,J
マーク名称,Stim A,Stim B,Stim C,Stim D,Stim E,Stim F,Stim G,Stim H,Stim I,Stim J
マーク刺激時間[s],15,15,15,15,15,15,15,15,15,15
マーク刺激間隔時間[s],30,30,30,30,30,30,30,30,30,30
マーク繰り返し回数,3



データ
携帯制御ボックス番号69(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
15,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.14825526,-0.05456478,0.11110712,0.25502154,0.07087633,0.04674658,0.11959093,0.14941496,0.01340311,0.11337183,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:49.0,0,0
16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.20363873,-0.13322687,-0.00607671,0.06161173,-0.02212111,-0.04857128,0.03669196,0.02611246,-0.08365821,0.10386089,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:49.0,0,0
17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.35524151,-0.23387982,-0.13872398,-0.14177479,-0.08804987,-0.12293696,-0.03458467,-0.07699875,-0.12822482,0.15164918,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:49.0,0,0
18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.17436010,0.03514327,0.18096921,0.16498919,0.08329545,0.10683206,0.09908576,0.17083336,0.08614841,0.41485265,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:49.0,0,0
19,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.20076875,-0.00883161,0.14536215,0.12512127,0.08068514,0.07979066,0.11032778,0.15617947,0.02632906,0.41710189,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:50.0,0,0
20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.21895275,-0.12880878,0.02047628,-0.03379804,0.01886428,0.00639664,0.06526224,0.04639733,0.04280315,0.46931064,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:50.0,0,0
21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.10489962,-0.14814657,-0.10829891,-0.15367763,-0.06017996,-0.10326644,0.01025609,-0.03678448,-0.13766727,0.36055413,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:50.0,0,0
22,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05290129,0.13281064,0.19661130,0.12159079,0.11764922,0.14762464,0.09346524,0.19634093,0.09598339,0.68606359,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:50.0,0,0
23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.07354500,-0.00000000,20.96790886,-0.54942930,0.12443399,0.06765927,0.15495139,0.08668560,0.60317618,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:50.0,0,0
24,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.12864523,-0.04374768,0.03833847,0.02889658,0.02103881,0.01799390,0.00872867,0.03155311,-0.02346742,0.42480364,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:51.0,0,0
25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.23686531,-0.00000000,41.11301422,-0.87022507,-0.08301964,-0.10683896,-0.14413586,-0.12400541,0.22764899,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:51.0,0,0
26,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.27537486,0.10516209,0.17463998,0.15717147,0.04108148,0.12735696,0.02997055,0.08274256,0.07926243,0.41222346,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:51.0,0,0
27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.69696665,0.00539174,-0.00000000,24.26159859,-0.69380707,0.09255213,-0.03437241,0.03318536,0.03432551,0.28728622,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:51.0,0,0
28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.23932642,-0.12873922,-0.05416929,-0.06691142,-0.20002921,-0.04514051,-0.05513242,-0.09943469,-0.08901750,0.13703261,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:51.0,0,0
29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06669787,-0.24188176,0.09231136,0.07808957,-0.28358045,-0.07534232,-0.14632626,-0.13126051,-0.05090703,0.07926223,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:52.0,0,0
30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25067130,-0.05528716,0.12012529,0.01229651,-0.70991379,0.04273922,-0.09565234,-0.02788848,0.00968277,0.16288979,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:52.0,0,0
31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.10330266,-0.10878786,0.02755515,0.07847252,-0.24737504,-0.03370062,-0.14743318,-0.09351446,-0.09878805,-0.00031460,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:52.0,0,0
32,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06280444,-0.31974855,-0.26065412,-0.30670261,-0.89945769,-0.15213068,-0.16304040,-0.19322771,-0.18325250,-0.12467474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:52.0,0,0
33,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10.33439350,0.19765720,0.15202102,0.19070126,-0.19928712,0.07092819,-0.06673129,0.02490675,0.02730458,0.10376196,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:52.0,0,0
34,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.17782447,-0.00000000,-0.00000000,-0.87367874,-0.03488897,-0.06077996,-0.01664196,-0.06109390,0.00945339,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:53.0,0,0
35,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.08667020,-0.16376024,-0.06019089,-0.15804140,-0.11933646,-0.07738009,-0.11139625,-0.06595695,-0.11223838,-0.09098071,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:53.0,0,0
36,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.46806061,-0.00000000,-0.00000000,-1.03867877,-0.20838033,-0.15147653,-0.18316352,-0.19632351,-0.24610406,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:53.0,0,0
37,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.13369735,-0.08594432,0.02944692,-0.10927063,-0.10187551,-0.00997097,-0.06645346,-0.00434082,-0.02364716,0.16296902,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:53.0,0,0
38,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.27713162,-0.00000000,-0.00000000,-0.99442083,-0.09426072,-0.10866205,-0.08080518,-0.07321206,0.23786737,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:53.0,0,0
39,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.19670880,-0.27484173,-0.26439014,-0.42439884,-0.28683969,-0.23766123,-0.18215059,-0.22394836,-0.18954203,0.28922212,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:54.0,0,0
40,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.43109488,-0.00000000,-0.00000000,-1.17028582,-0.08953785,-0.18866611,-0.12487578,-0.01309196,0.59450585,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:54.0,0,0
41,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.16841561,-0.25385824,-1.86223626,-2.10617900,-0.27168113,-0.14746322,-0.22213210,-0.18586224,-0.08460499,0.60454428,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:54.0,0,0
42,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.15309735,-0.27044135,0.07359891,0.11517551,-0.99286795,-0.22890329,-0.25671723,-0.26786226,-0.19369113,0.43239406,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:54.0,0,0
43,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08011220,-0.46916777,-0.52307099,-0.70918816,-1.23993838,-0.33704919,-0.27727669,-0.33575755,-0.24656290,0.33939388,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:54.0,0,0
44,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.09169273,-0.15753129,0.08926912,0.11864197,-0.38061902,-0.16475704,-0.22388677,-0.17337917,-0.15337183,0.28743872,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:55.0,0,0
45,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06918363,-0.29517144,-0.32117167,-0.49896514,-1.08659136,-0.22058691,-0.22496010,-0.21512960,-0.19999729,0.12988660,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:55.0,0,0
46,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04467579,-0.37617251,0.13227344,0.15625094,-0.38433123,-0.35142055,-0.30162796,-0.35114494,-0.31814349,-0.14490978,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:55.0,0,0
47,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.27967778,2.37585640,2.38719606,-1.01680243,-0.12198309,-0.18606210,-0.12198526,-0.13515612,0.02387307,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:55.0,0,0
48,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.44810349,-0.23623328,-0.17152654,-0.17414826,-0.13279182,-0.18166898,-0.17500028,-0.12094824,-0.18630593,-0.06811979,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:55.0,0,0
49,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.55773455,-0.00000000,-0.00000000,-1.08568406,-0.29524738,-0.20596805,-0.20769456,-0.29395241,-0.18349218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:56.0,0,0
50,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.67291564,-0.18559535,-0.02599407,0.01085864,-0.16375728,-0.06194870,-0.09673792,0.00980065,-0.10229992,0.17549950,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:56.0,0,0
51,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.39742005,-0.00000000,-0.00000000,-1.00485349,-0.15653387,-0.16202429,-0.09644993,-0.15766744,0.28665680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:56.0,0,0
52,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.72459114,-0.39495164,-0.33741236,-0.33717835,-0.30748323,-0.28211856,-0.20041087,-0.22476469,-0.25741091,0.28414881,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:56.0,0,0
53,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.40946135,-0.00000000,35.31535721,-1.06735015,-0.08411756,-0.10896956,-0.03888812,-0.07530930,0.74154603,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:56.0,0,0
54,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-2.82956862,-0.21444863,-0.22863823,-0.36915579,-0.21787909,-0.18502796,-0.12325396,-0.11255812,-0.15119107,0.74951988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:57.0,0,0
55,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22833323,-0.33007467,-3.46435356,-3.45558739,-1.00608814,-0.26151422,-0.17202231,-0.19576067,-0.24364741,0.64983362,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:57.0,0,0
56,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.08956033,-0.32104367,-0.25513840,-0.42703050,-0.92988324,-0.08265969,-0.10026204,-0.03511183,-0.05558851,0.84471971,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:57.0,0,0
57,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.17573115,-0.24469249,0.07397565,28.50645065,-0.30108842,-0.14720902,-0.12784851,-0.10514641,-0.13495648,0.66728473,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:57.0,0,0
58,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.21183383,-0.33349609,-0.37021890,-0.45931712,-0.88102359,-0.21621642,-0.16832653,-0.18731068,-0.21862794,0.43658319,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:57.0,0,0
59,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.10932621,-0.32049885,0.14420480,34.65831375,-0.31341365,-0.08645540,-0.15098110,-0.09286115,-0.06179720,0.49726650,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:58.0,0,0
60,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.77348328,-0.46883014,-0.11594571,-0.08076775,-0.75310034,-0.07579561,-0.13010658,-0.08931726,-0.10926554,0.32089531,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:24:58.0,0,0
