ヘッダー
ファイルバージョン,1.01.01
ソフトウェアバージョン,1.04
ファームウェアバージョン,1.02
FPGAバージョン,1A25
ヘッドセット FPGAバージョン,272B
計測モード,Wireless monitor
計測コントローラ ID,A
計測ID,A20230613213450
計測コメント,tohma_odoball_2
ユーザー情報
ID,
Name,ooshio360
Comment,ooshio360
Age,  1y
Sex,Male
解析情報
Hb移動平均[s],OFF
プローブ情報
プローブモード,(B)2x4
プローブID,PROBE095
mPD反映,X
自動レーザー出力設定方式,Auto（自動）
プローブ調整平均値算出回数,10
外光判定閾値[%],40
アンダー判定閾値[%],30
オーバー判定閾値[%],80
レーザーチャンネル,LD1(705.0),LD1(830.0),LD2(705.0),LD2(830.0),LD3(705.0),LD3(830.0),LD4(705.0),LD4(830.0),LD5(705.0),LD5(830.0),LD6(705.0),LD6(830.0),LD7(705.0),LD7(830.0),LD8(705.0),LD8(830.0)
計測チャンネル,CH1(-.-),CH1(-.-),CH2(-.-),CH2(-.-),CH3(-.-),CH3(-.-),CH4(-.-),CH4(-.-),CH5(-.-),CH5(-.-),CH6(-.-),CH6(-.-),CH7(705.0),CH7(830.0),CH8(705.0),CH8(830.0),CH9(705.0),CH9(830.0),CH10(705.0),CH10(830.0),CH11(705.0),CH11(830.0),CH12(705.0),CH12(830.0),CH13(705.0),CH13(830.0),CH14(705.0),CH14(830.0),CH15(705.0),CH15(830.0),CH16(705.0),CH16(830.0),CH17(-.-),CH17(-.-),CH18(-.-),CH18(-.-),CH19(-.-),CH19(-.-),CH20(-.-),CH20(-.-),CH21(-.-),CH21(-.-),CH22(-.-),CH22(-.-)
除去チャネル,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
故障レーザーチャンネル,-,-,-,-,-,-,-,-,-,-,-,-,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-
レーザー設定,-,-,-,-,-,-,-,-,-,-,-,-,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Off,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Low,-,-,-,-,-,-,-,-,-,-,-,-,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - High,-,-,-,-,-,-,-,-,-,-,-,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力設定値(If)[mA],-,-,-,-,-,-,-,-,-,-,-,-,23.17,24.37,23.17,24.37,22.12,24.49,22.12,24.49,21.77,23.76,22.12,24.49,21.77,23.76,21.77,23.76,22.15,23.55,22.15,23.55,-,-,-,-,-,-,-,-,-,-,-,-
レーザー調整係数,8.000,8.000
レーザー調整基準レーザー出力(Po)[mW],4.00,4.00
レーザー調整基準レーザー出力(Vm)[V],0.50,0.50
プローブ調整結果,-,-,-,-,-,-,-,-,Normal,Normal,-,-,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,-,-,Normal,Normal,-,-,-,-,-,-,-,-
計測情報
計測日時,2023/06/13 21:35:36
計測タイプ,Stim
プリスキャン時間[s],10.0
マーク入力タイプ,Manual
マーククラス,A,B,C,D,E,F,G,H,I,J
マーク名称,Stim A,Stim B,Stim C,Stim D,Stim E,Stim F,Stim G,Stim H,Stim I,Stim J
マーク刺激時間[s],15,15,15,15,15,15,15,15,15,15
マーク刺激間隔時間[s],30,30,30,30,30,30,30,30,30,30
マーク繰り返し回数,3



データ
携帯制御ボックス番号69(Deoxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15266888,0.08549630,0.02344083,-0.01463998,0.02323139,0.02390359,-0.03961533,0.02216686,0.00130425,-0.49004573,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:49.0,0,0
17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.10595769,0.08202332,0.04057017,0.03852767,0.01810768,0.03324538,-0.04389361,0.01573921,0.00453331,-0.46276549,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:49.0,0,0
18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06980829,0.05115040,0.01835255,0.05574783,0.02622330,0.02573922,-0.03336753,0.01138495,0.00727909,-0.39372921,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:49.0,0,0
19,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38432297,-3.08204699,0.00000000,1.22328985,-0.04953211,-0.06887963,-0.05314294,-0.07672419,-0.45852736,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:50.0,0,0
20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03497854,0.05301502,-0.00189717,-0.03410229,0.03096874,0.01911106,-0.02347532,0.03504651,-0.01150190,-0.35341662,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:50.0,0,0
21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.31526864,1.00499105,0.00000000,1.06846786,0.02236346,-0.00534621,0.06020993,-0.00450485,-0.32670984,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:50.0,0,0
22,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82141340,0.12959203,-0.02228543,-0.11488009,0.06292993,0.02051319,0.00838478,0.06919894,0.00323414,-0.29727197,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:50.0,0,0
23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.10794258,0.21080859,0.73339611,0.00000000,1.25236773,-0.07560471,-0.01275796,-0.00448788,-0.06040458,-0.35262385,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:50.0,0,0
24,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06223836,0.33489379,5.03014803,-0.06948349,0.59100890,0.03041766,0.01061270,0.08086948,-0.00030309,-0.28495955,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:51.0,0,0
25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.24678285,0.14325728,-4.12751722,-0.03019875,0.09933052,0.01917144,0.02764663,0.08993145,0.00261538,-0.35446653,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:51.0,0,0
26,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07832567,0.44233856,5.22211313,0.00706781,1.14991307,0.01870060,0.00162273,0.06234702,0.00117450,-0.36278987,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:51.0,0,0
27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.16805983,0.03539436,-5.51202679,-0.02479064,0.00614124,-0.04777279,-0.04363962,-0.03416385,-0.04439523,-0.49048033,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:51.0,0,0
28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03136725,0.31931481,5.92724562,-0.05729187,0.98242962,0.03769480,-0.01194290,0.03983184,-0.00743993,-0.42370412,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:51.0,0,0
29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.03033423,0.05479288,-5.34118843,0.09575233,0.07289742,0.03790660,0.01656414,0.06407601,0.00428476,-0.41004544,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:52.0,0,0
30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.44017676,-1.09919667,0.00000000,1.17164111,0.02171521,0.02377558,0.08347383,0.00204478,-0.34831619,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:52.0,0,0
31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05718328,0.02663165,-0.04371290,-0.03685170,0.03678817,0.00970473,-0.00421073,0.05544079,-0.01109025,-0.30420670,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:52.0,0,0
32,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.34678742,-1.35567760,0.00000000,1.04126120,0.01347551,-0.00449831,0.05758199,-0.00371607,-0.20689586,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:52.0,0,0
33,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.22459882,0.12287544,-0.01246414,-0.08168194,0.04276375,0.03470653,0.00496220,0.06706932,0.01559915,-0.12338877,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:52.0,0,0
34,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50204527,-0.62714773,0.00000000,1.18147874,0.01630075,-0.01159604,0.04539044,0.00946143,-0.15447131,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:53.0,0,0
35,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.26690143,0.07770432,-0.05116050,-0.13134767,0.00900539,0.01046043,-0.02084958,0.03254394,-0.00833875,-0.19973716,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:53.0,0,0
36,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38738823,0.25980157,0.00000000,1.08265746,0.01871850,-0.00497266,0.05127249,0.00182939,-0.29558802,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:53.0,0,0
37,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09580740,0.40601885,2.32547688,3.29459524,0.03656897,0.03792230,0.00884862,0.05805335,0.00328393,-0.36063600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:53.0,0,0
38,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07639556,0.11635262,-5.22727346,0.01608394,0.90275878,0.01929423,0.00923616,0.04676166,-0.00342189,-0.41192159,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:53.0,0,0
39,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00107618,0.36688006,5.95514822,-0.05781067,1.11457646,0.01836370,-0.02068806,0.03219184,-0.01831782,-0.40382016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:54.0,0,0
40,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02881646,0.07095221,-5.79479694,0.07470477,0.04734150,0.02394080,0.00658834,0.05726457,-0.00609773,-0.28785819,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:54.0,0,0
41,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09606601,0.38677216,5.76245213,-0.02781942,1.11766446,0.03182685,-0.02968786,0.02151958,0.00359997,-0.19139515,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:54.0,0,0
42,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01844183,0.11307711,-5.28476000,-0.01121545,-0.02088782,0.03055219,-0.01209739,0.03955527,0.00185311,-0.13847965,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:54.0,0,0
43,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.41944361,4.93625212,-1.17757010,1.08985674,0.01260602,-0.04839118,-0.00813483,-0.00858368,-0.23179889,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:54.0,0,0
44,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.31004533,0.11336325,-0.01270796,-0.04185029,-0.03864118,0.02036935,-0.04962991,-0.01052440,-0.00546008,-0.33814877,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:55.0,0,0
45,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.45666558,-0.41569763,0.00000000,1.19573081,0.03333462,-0.03111723,0.00297793,-0.00639797,-0.38043985,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:55.0,0,0
46,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02988199,0.04991196,-0.06072376,0.05117783,-0.02078368,-0.02955643,-0.02758331,-0.01687445,-0.05819084,-0.45699725,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:55.0,0,0
47,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38420603,0.00910587,0.00000000,1.23246729,0.03968502,0.00386939,0.05893576,0.00531059,-0.20732085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:55.0,0,0
48,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.08967005,0.03337935,0.03224117,0.11301329,-0.00376073,0.02910412,-0.02887634,0.03938620,0.01107234,-0.08456793,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:55.0,0,0
49,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.48148206,0.63655210,0.00000000,1.30589819,0.01982700,-0.02221933,0.01793864,0.01438107,0.00930835,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:56.0,0,0
50,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.96127844,0.26250103,-0.09646307,-0.10172752,-0.08301006,-0.04462698,-0.08258121,-0.07601948,-0.01900114,0.04063371,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:56.0,0,0
51,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.12068618,0.11090990,-4.89398527,2.89115262,1.21228409,0.01230165,-0.04071434,-0.03310708,0.00027712,-0.03255930,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:56.0,0,0
52,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04347936,0.43237373,5.68160772,0.08346310,1.30679238,0.01948667,-0.02020175,-0.00936009,0.00056389,-0.16687323,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:56.0,0,0
53,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02187882,0.05218448,-5.83844805,0.01470572,-0.10699861,-0.03272343,-0.06522325,-0.06643942,-0.06026104,-0.40938562,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:56.0,0,0
54,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01021337,0.35640737,6.00151348,0.03491395,1.25280905,0.04554281,-0.05830753,0.00516874,0.00937958,-0.27256525,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:57.0,0,0
55,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.13446155,0.05474567,-4.65691662,0.03396475,-0.03311693,0.03811436,-0.03029107,0.03452187,0.01253386,-0.06583157,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:57.0,0,0
56,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.66791540,0.51846939,5.58593607,0.05856416,1.36768675,0.01188713,-0.03085320,0.01621852,0.00081103,0.09826063,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:57.0,0,0
57,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01119607,0.03488123,0.03976822,-3.73738694,-0.03693927,0.01807001,-0.07119896,-0.01601261,0.00785787,0.24889581,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:57.0,0,0
58,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.33699527,-3.25413871,0.00000000,1.17278802,0.02803841,-0.07428981,-0.02556547,0.02377901,0.21815282,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:57.0,0,0
59,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09826269,0.07898040,0.06197170,0.17772254,-0.05972463,0.04580193,-0.07939050,-0.03238809,0.01618152,0.00745370,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:58.0,0,0
60,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.41088647,0.79509026,0.00000000,1.36633408,-0.01250539,-0.07187012,-0.05698142,-0.02393554,-0.22774293,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:58.0,0,0
61,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06405661,0.02980947,0.05318852,0.13147837,-0.04097839,0.04108276,-0.06563199,-0.00975310,0.00803429,-0.24339309,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:58.0,0,0
62,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.13193034,0.01984332,0.04259939,0.10734280,0.00317279,0.03130256,-0.01797239,0.03763831,0.01595242,-0.08849033,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:58.0,0,0
