ヘッダー
ファイルバージョン,1.01.01
ソフトウェアバージョン,1.04
ファームウェアバージョン,1.02
FPGAバージョン,1A25
ヘッドセット FPGAバージョン,272B
計測モード,Wireless monitor
計測コントローラ ID,A
計測ID,A20230613213450
計測コメント,tohma_odoball_2
ユーザー情報
ID,
Name,ooshio360
Comment,ooshio360
Age,  1y
Sex,Male
解析情報
Hb移動平均[s],OFF
プローブ情報
プローブモード,(B)2x4
プローブID,PROBE095
mPD反映,X
自動レーザー出力設定方式,Auto（自動）
プローブ調整平均値算出回数,10
外光判定閾値[%],40
アンダー判定閾値[%],30
オーバー判定閾値[%],80
レーザーチャンネル,LD1(705.0),LD1(830.0),LD2(705.0),LD2(830.0),LD3(705.0),LD3(830.0),LD4(705.0),LD4(830.0),LD5(705.0),LD5(830.0),LD6(705.0),LD6(830.0),LD7(705.0),LD7(830.0),LD8(705.0),LD8(830.0)
計測チャンネル,CH1(-.-),CH1(-.-),CH2(-.-),CH2(-.-),CH3(-.-),CH3(-.-),CH4(-.-),CH4(-.-),CH5(-.-),CH5(-.-),CH6(-.-),CH6(-.-),CH7(705.0),CH7(830.0),CH8(705.0),CH8(830.0),CH9(705.0),CH9(830.0),CH10(705.0),CH10(830.0),CH11(705.0),CH11(830.0),CH12(705.0),CH12(830.0),CH13(705.0),CH13(830.0),CH14(705.0),CH14(830.0),CH15(705.0),CH15(830.0),CH16(705.0),CH16(830.0),CH17(-.-),CH17(-.-),CH18(-.-),CH18(-.-),CH19(-.-),CH19(-.-),CH20(-.-),CH20(-.-),CH21(-.-),CH21(-.-),CH22(-.-),CH22(-.-)
除去チャネル,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
故障レーザーチャンネル,-,-,-,-,-,-,-,-,-,-,-,-,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-
レーザー設定,-,-,-,-,-,-,-,-,-,-,-,-,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Off,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Low,-,-,-,-,-,-,-,-,-,-,-,-,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - High,-,-,-,-,-,-,-,-,-,-,-,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力設定値(If)[mA],-,-,-,-,-,-,-,-,-,-,-,-,23.17,24.37,23.17,24.37,22.12,24.49,22.12,24.49,21.77,23.76,22.12,24.49,21.77,23.76,21.77,23.76,22.15,23.55,22.15,23.55,-,-,-,-,-,-,-,-,-,-,-,-
レーザー調整係数,8.000,8.000
レーザー調整基準レーザー出力(Po)[mW],4.00,4.00
レーザー調整基準レーザー出力(Vm)[V],0.50,0.50
プローブ調整結果,-,-,-,-,-,-,-,-,Normal,Normal,-,-,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,-,-,Normal,Normal,-,-,-,-,-,-,-,-
計測情報
計測日時,2023/06/13 21:35:36
計測タイプ,Stim
プリスキャン時間[s],10.0
マーク入力タイプ,Manual
マーククラス,A,B,C,D,E,F,G,H,I,J
マーク名称,Stim A,Stim B,Stim C,Stim D,Stim E,Stim F,Stim G,Stim H,Stim I,Stim J
マーク刺激時間[s],15,15,15,15,15,15,15,15,15,15
マーク刺激間隔時間[s],30,30,30,30,30,30,30,30,30,30
マーク繰り返し回数,3



データ
携帯制御ボックス番号69(Deoxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07696883,0.05260874,0.01839360,-0.01295687,0.00959011,0.02041598,-0.02069412,0.01648018,-0.00316246,-0.26058659,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:46.0,0,0
2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00471236,0.05290308,0.04638075,0.01766649,0.00307868,0.03156752,-0.01901439,0.02495161,-0.00654324,-0.36818147,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:46.0,0,0
3,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06511176,0.04025208,0.07671101,0.13150667,0.03949299,0.06164641,-0.00056128,0.04242053,0.01316139,-0.40371558,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:46.0,0,0
4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.17354210,-0.05208505,-0.04549802,0.03137570,0.01146840,-0.03680502,-0.01191707,-0.00166789,-0.04347781,-0.41827819,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:47.0,0,0
5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.09931039,0.04541646,0.06766783,0.13151966,0.03618686,0.04771513,0.00034493,0.04191301,0.00552138,-0.34994105,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:47.0,0,0
6,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04986952,0.05225525,0.06234902,0.10738692,0.07806512,0.04611268,0.02703657,0.08795024,0.01855425,-0.27566814,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:47.0,0,0
7,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00357260,0.05596198,0.03820997,0.06826844,0.07250413,0.03742280,0.02956574,0.06946741,-0.00622112,-0.25413522,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:47.0,0,0
8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04506963,0.03153010,-0.00123004,-0.03476368,0.04917119,0.01089628,0.00722672,0.04968517,0.00061128,-0.19832760,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:47.0,0,0
9,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06960022,0.07095343,0.03896857,-0.06643438,0.06306114,0.03450266,0.03014231,0.07106826,0.01607794,-0.18515539,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:48.0,0,0
10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15722859,0.08333974,0.02426686,-0.12725551,0.07582295,0.02246585,0.02730111,0.07067984,0.02736790,-0.18572681,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:48.0,0,0
11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15841018,0.04400266,-0.06227947,-0.21742344,0.03612687,-0.03928386,-0.02269283,0.00009889,-0.04457994,-0.20154251,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:48.0,0,0
12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.27249444,0.08079245,0.01405828,-0.16155006,0.06896917,0.01706906,0.00710954,0.05951962,0.03975421,-0.15368643,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:48.0,0,0
13,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.22121473,0.09995818,0.04027379,-0.12217606,0.06200679,0.02095708,0.00672819,0.06383005,0.03220318,-0.18345094,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:48.0,0,0
14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.19017905,0.08468265,0.03554189,-0.08779033,0.05969430,0.02761811,-0.00268606,0.04985124,0.03187204,-0.30570543,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:49.0,0,0
15,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.13428335,0.01007896,-0.10303912,-0.15710124,0.00534551,-0.06637579,-0.04806784,-0.04234039,-0.06089309,-0.52674466,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:35:49.0,0,0
